permutation,stat1,stat2,stat3,stat4,stat5,stat6,stat7,stat8,stat9
"(2, 4, 6, 8, 3, 7, 1, 5)",0,0,0,1,13,1,2,0,0
"(2, 4, 6, 8, 3, 7, 5, 1)",1,1,0,1,14,0,3,0,0
"(2, 4, 6, 8, 5, 1, 3, 7)",0,0,0,0,12,0,2,0,0
"(2, 4, 6, 8, 5, 1, 7, 3)",0,1,0,0,13,1,3,0,0
"(2, 4, 6, 8, 5, 3, 1, 7)",0,0,0,0,13,1,3,0,0
"(2, 4, 6, 8, 5, 3, 7, 1)",1,1,0,0,14,0,3,0,0
"(2, 4, 6, 8, 5, 7, 1, 3)",0,0,0,0,14,0,2,0,0
"(2, 4, 6, 8, 5, 7, 3, 1)",1,1,0,0,15,1,3,0,0
"(2, 4, 6, 8, 7, 1, 3, 5)",0,0,0,1,13,1,2,0,0
"(2, 4, 6, 8, 7, 1, 5, 3)",0,1,0,1,14,0,3,0,0
"(2, 4, 6, 8, 7, 3, 1, 5)",0,0,0,1,14,0,3,0,0
"(2, 4, 6, 8, 7, 3, 5, 1)",1,1,0,1,15,1,3,0,0
"(2, 4, 6, 8, 7, 5, 1, 3)",0,0,0,1,15,1,3,0,0
"(2, 4, 6, 8, 7, 5, 3, 1)",1,1,0,1,16,0,4,0,0
"(2, 4, 7, 1, 3, 5, 6, 8)",0,0,0,0,7,1,1,1,0
"(2, 4, 7, 1, 3, 5, 8, 6)",0,1,0,1,8,0,2,0,0
"(2, 4, 7, 1, 3, 6, 5, 8)",0,0,0,0,8,0,2,0,0
"(2, 4, 7, 1, 3, 6, 8, 5)",0,1,0,0,9,1,2,0,0
"(2, 4, 7, 1, 3, 8, 5, 6)",0,0,0,1,9,1,2,0,0
"(2, 4, 7, 1, 3, 8, 6, 5)",0,1,0,1,10,0,3,0,0
"(2, 4, 7, 1, 5, 3, 6, 8)",0,0,0,0,8,0,2,0,0
"(2, 4, 7, 1, 5, 3, 8, 6)",0,1,0,0,9,1,3,0,0
"(2, 4, 7, 1, 5, 6, 3, 8)",0,0,0,0,9,1,2,0,0
"(2, 4, 7, 1, 5, 6, 8, 3)",0,1,0,0,10,0,2,0,0
"(2, 4, 7, 1, 5, 8, 3, 6)",0,0,0,0,10,0,2,0,0
"(2, 4, 7, 1, 5, 8, 6, 3)",0,1,0,0,11,1,3,0,0
"(2, 4, 7, 1, 6, 3, 5, 8)",0,0,0,0,9,1,2,0,0
"(2, 4, 7, 1, 6, 3, 8, 5)",0,1,0,1,10,0,3,0,0
"(2, 4, 7, 1, 6, 5, 3, 8)",0,0,0,0,10,0,3,0,0
"(2, 4, 7, 1, 6, 5, 8, 3)",0,1,0,1,11,1,3,0,0
"(2, 4, 7, 1, 6, 8, 3, 5)",0,0,0,1,11,1,2,0,0
"(2, 4, 7, 1, 6, 8, 5, 3)",0,1,0,1,12,0,3,0,0
"(2, 4, 7, 1, 8, 3, 5, 6)",0,0,0,1,10,0,2,0,0
"(2, 4, 7, 1, 8, 3, 6, 5)",0,1,0,1,11,1,3,0,0
"(2, 4, 7, 1, 8, 5, 3, 6)",0,0,0,1,11,1,3,0,0
"(2, 4, 7, 1, 8, 5, 6, 3)",0,1,0,1,12,0,3,0,0
"(2, 4, 7, 1, 8, 6, 3, 5)",0,0,0,0,12,0,3,0,0
"(2, 4, 7, 1, 8, 6, 5, 3)",0,1,0,0,13,1,4,0,0
"(2, 4, 7, 3, 1, 5, 6, 8)",0,0,0,0,8,0,2,0,0
"(2, 4, 7, 3, 1, 5, 8, 6)",0,1,0,1,9,1,3,0,0
"(2, 4, 7, 3, 1, 6, 5, 8)",0,0,0,0,9,1,3,0,0
"(2, 4, 7, 3, 1, 6, 8, 5)",0,1,0,0,10,0,3,0,0
"(2, 4, 7, 3, 1, 8, 5, 6)",0,0,0,1,10,0,3,0,0
"(2, 4, 7, 3, 1, 8, 6, 5)",0,1,0,1,11,1,4,0,0
"(2, 4, 7, 3, 5, 1, 6, 8)",0,0,0,0,9,1,2,0,0
"(2, 4, 7, 3, 5, 1, 8, 6)",0,1,0,0,10,0,3,0,0
"(2, 4, 7, 3, 5, 6, 1, 8)",0,0,0,0,10,0,2,0,0
"(2, 4, 7, 3, 5, 6, 8, 1)",1,1,0,0,11,1,2,0,0
"(2, 4, 7, 3, 5, 8, 1, 6)",0,0,0,0,11,1,2,0,0
"(2, 4, 7, 3, 5, 8, 6, 1)",1,1,0,0,12,0,3,0,0
"(2, 4, 7, 3, 6, 1, 5, 8)",0,0,0,0,10,0,2,0,0
"(2, 4, 7, 3, 6, 1, 8, 5)",0,1,0,1,11,1,3,0,0
"(2, 4, 7, 3, 6, 5, 1, 8)",0,0,0,0,11,1,3,0,0
"(2, 4, 7, 3, 6, 5, 8, 1)",1,1,0,1,12,0,3,0,0
"(2, 4, 7, 3, 6, 8, 1, 5)",0,0,0,1,12,0,2,0,0
"(2, 4, 7, 3, 6, 8, 5, 1)",1,1,0,1,13,1,3,0,0
"(2, 4, 7, 3, 8, 1, 5, 6)",0,0,0,1,11,1,2,0,0
"(2, 4, 7, 3, 8, 1, 6, 5)",0,1,0,1,12,0,3,0,0
"(2, 4, 7, 3, 8, 5, 1, 6)",0,0,0,1,12,0,3,0,0
"(2, 4, 7, 3, 8, 5, 6, 1)",1,1,0,1,13,1,3,0,0
"(2, 4, 7, 3, 8, 6, 1, 5)",0,0,0,0,13,1,3,0,0
"(2, 4, 7, 3, 8, 6, 5, 1)",1,1,0,0,14,0,4,0,0
"(2, 4, 7, 5, 1, 3, 6, 8)",0,0,0,0,9,1,2,0,0
"(2, 4, 7, 5, 1, 3, 8, 6)",0,1,0,1,10,0,3,0,0
"(2, 4, 7, 5, 1, 6, 3, 8)",0,0,0,0,10,0,3,0,0
"(2, 4, 7, 5, 1, 6, 8, 3)",0,1,0,0,11,1,3,0,0
"(2, 4, 7, 5, 1, 8, 3, 6)",0,0,0,1,11,1,3,0,0
"(2, 4, 7, 5, 1, 8, 6, 3)",0,1,0,1,12,0,4,0,0
"(2, 4, 7, 5, 3, 1, 6, 8)",0,0,0,0,10,0,3,0,0
"(2, 4, 7, 5, 3, 1, 8, 6)",0,1,0,1,11,1,4,0,0
"(2, 4, 7, 5, 3, 6, 1, 8)",0,0,0,0,11,1,3,0,0
"(2, 4, 7, 5, 3, 6, 8, 1)",1,1,0,0,12,0,3,0,0
"(2, 4, 7, 5, 3, 8, 1, 6)",0,0,0,1,12,0,3,0,0
"(2, 4, 7, 5, 3, 8, 6, 1)",1,1,0,1,13,1,4,0,0
"(2, 4, 7, 5, 6, 1, 3, 8)",0,0,0,0,11,1,2,0,0
"(2, 4, 7, 5, 6, 1, 8, 3)",0,1,0,1,12,0,3,0,0
"(2, 4, 7, 5, 6, 3, 1, 8)",0,0,0,0,12,0,3,0,0
"(2, 4, 7, 5, 6, 3, 8, 1)",1,1,0,1,13,1,3,0,0
"(2, 4, 7, 5, 6, 8, 1, 3)",0,0,0,1,13,1,2,0,0
"(2, 4, 7, 5, 6, 8, 3, 1)",1,1,0,1,14,0,3,0,0
"(2, 4, 7, 5, 8, 1, 3, 6)",0,0,0,1,12,0,2,0,0
"(2, 4, 7, 5, 8, 1, 6, 3)",0,1,0,1,13,1,3,0,0
"(2, 4, 7, 5, 8, 3, 1, 6)",0,0,0,1,13,1,3,0,0
"(2, 4, 7, 5, 8, 3, 6, 1)",1,1,0,1,14,0,3,0,0
"(2, 4, 7, 5, 8, 6, 1, 3)",0,0,0,0,14,0,3,0,0
"(2, 4, 7, 5, 8, 6, 3, 1)",1,1,0,0,15,1,4,0,0
"(2, 4, 7, 6, 1, 3, 5, 8)",0,0,0,0,10,0,2,0,0
"(2, 4, 7, 6, 1, 3, 8, 5)",0,1,0,1,11,1,3,0,0
"(2, 4, 7, 6, 1, 5, 3, 8)",0,0,0,0,11,1,3,0,0
"(2, 4, 7, 6, 1, 5, 8, 3)",0,1,0,1,12,0,3,0,0
"(2, 4, 7, 6, 1, 8, 3, 5)",0,0,0,1,12,0,3,0,0
"(2, 4, 7, 6, 1, 8, 5, 3)",0,1,0,1,13,1,4,0,0
"(2, 4, 7, 6, 3, 1, 5, 8)",0,0,0,0,11,1,3,0,0
"(2, 4, 7, 6, 3, 1, 8, 5)",0,1,0,1,12,0,4,0,0
"(2, 4, 7, 6, 3, 5, 1, 8)",0,0,0,0,12,0,3,0,0
"(2, 4, 7, 6, 3, 5, 8, 1)",1,1,0,1,13,1,3,0,0
"(2, 4, 7, 6, 3, 8, 1, 5)",0,0,0,1,13,1,3,0,0
"(2, 4, 7, 6, 3, 8, 5, 1)",1,1,0,1,14,0,4,0,0
"(2, 4, 7, 6, 5, 1, 3, 8)",0,0,0,0,12,0,3,0,0
"(2, 4, 7, 6, 5, 1, 8, 3)",0,1,0,0,13,1,4,0,0
"(2, 4, 7, 6, 5, 3, 1, 8)",0,0,0,0,13,1,4,0,0
"(2, 4, 7, 6, 5, 3, 8, 1)",1,1,0,0,14,0,4,0,0
"(2, 4, 7, 6, 5, 8, 1, 3)",0,0,0,0,14,0,3,0,0
"(2, 4, 7, 6, 5, 8, 3, 1)",1,1,0,0,15,1,4,0,0
"(2, 4, 7, 6, 8, 1, 3, 5)",0,0,0,1,13,1,2,0,0
"(2, 4, 7, 6, 8, 1, 5, 3)",0,1,0,1,14,0,3,0,0
"(2, 4, 7, 6, 8, 3, 1, 5)",0,0,0,1,14,0,3,0,0
"(2, 4, 7, 6, 8, 3, 5, 1)",1,1,0,1,15,1,3,0,0
"(2, 4, 7, 6, 8, 5, 1, 3)",0,0,0,1,15,1,3,0,0
"(2, 4, 7, 6, 8, 5, 3, 1)",1,1,0,1,16,0,4,0,0
"(2, 4, 7, 8, 1, 3, 5, 6)",0,0,0,1,11,1,1,1,0
"(2, 4, 7, 8, 1, 3, 6, 5)",0,1,0,1,12,0,2,0,0
"(2, 4, 7, 8, 1, 5, 3, 6)",0,0,0,1,12,0,2,0,0
"(2, 4, 7, 8, 1, 5, 6, 3)",0,1,0,1,13,1,2,0,0
"(2, 4, 7, 8, 1, 6, 3, 5)",0,0,0,0,13,1,2,0,0
"(2, 4, 7, 8, 1, 6, 5, 3)",0,1,0,0,14,0,3,0,0
"(2, 4, 7, 8, 3, 1, 5, 6)",0,0,0,1,12,0,2,0,0
"(2, 4, 7, 8, 3, 1, 6, 5)",0,1,0,1,13,1,3,0,0
"(2, 4, 7, 8, 3, 5, 1, 6)",0,0,0,1,13,1,2,0,0
"(2, 4, 7, 8, 3, 5, 6, 1)",1,1,0,1,14,0,2,0,0
"(2, 4, 7, 8, 3, 6, 1, 5)",0,0,0,0,14,0,2,0,0
"(2, 4, 7, 8, 3, 6, 5, 1)",1,1,0,0,15,1,3,0,0
"(2, 4, 7, 8, 5, 1, 3, 6)",0,0,0,0,13,1,2,0,0
"(2, 4, 7, 8, 5, 1, 6, 3)",0,1,0,0,14,0,3,0,0
"(2, 4, 7, 8, 5, 3, 1, 6)",0,0,0,0,14,0,3,0,0
"(2, 4, 7, 8, 5, 3, 6, 1)",1,1,0,0,15,1,3,0,0
"(2, 4, 7, 8, 5, 6, 1, 3)",0,0,0,0,15,1,2,0,0
"(2, 4, 7, 8, 5, 6, 3, 1)",1,1,0,0,16,0,3,0,0
"(2, 4, 7, 8, 6, 1, 3, 5)",0,0,0,1,14,0,2,0,0
"(2, 4, 7, 8, 6, 1, 5, 3)",0,1,0,1,15,1,3,0,0
"(2, 4, 7, 8, 6, 3, 1, 5)",0,0,0,1,15,1,3,0,0
"(2, 4, 7, 8, 6, 3, 5, 1)",1,1,0,1,16,0,3,0,0
"(2, 4, 7, 8, 6, 5, 1, 3)",0,0,0,1,16,0,3,0,0
"(2, 4, 7, 8, 6, 5, 3, 1)",1,1,0,1,17,1,4,0,0
"(2, 4, 8, 1, 3, 5, 6, 7)",0,0,0,1,8,0,1,1,0
"(2, 4, 8, 1, 3, 5, 7, 6)",0,1,0,0,9,1,2,0,0
"(2, 4, 8, 1, 3, 6, 5, 7)",0,0,0,0,9,1,2,0,0
"(2, 4, 8, 1, 3, 6, 7, 5)",0,1,0,0,10,0,2,0,0
"(2, 4, 8, 1, 3, 7, 5, 6)",0,0,0,1,10,0,2,0,0
"(2, 4, 8, 1, 3, 7, 6, 5)",0,1,0,1,11,1,3,0,0
"(2, 4, 8, 1, 5, 3, 6, 7)",0,0,0,0,9,1,2,0,0
"(2, 4, 8, 1, 5, 3, 7, 6)",0,1,0,0,10,0,3,0,0
"(2, 4, 8, 1, 5, 6, 3, 7)",0,0,0,0,10,0,2,0,0
"(2, 4, 8, 1, 5, 6, 7, 3)",0,1,0,0,11,1,2,0,0
"(2, 4, 8, 1, 5, 7, 3, 6)",0,0,0,0,11,1,2,0,0
"(2, 4, 8, 1, 5, 7, 6, 3)",0,1,0,0,12,0,3,0,0
"(2, 4, 8, 1, 6, 3, 5, 7)",0,0,0,1,10,0,2,0,0
"(2, 4, 8, 1, 6, 3, 7, 5)",0,1,0,0,11,1,3,0,0
"(2, 4, 8, 1, 6, 5, 3, 7)",0,0,0,1,11,1,3,0,0
"(2, 4, 8, 1, 6, 5, 7, 3)",0,1,0,0,12,0,3,0,0
"(2, 4, 8, 1, 6, 7, 3, 5)",0,0,0,1,12,0,2,0,0
"(2, 4, 8, 1, 6, 7, 5, 3)",0,1,0,1,13,1,3,0,0
"(2, 4, 8, 1, 7, 3, 5, 6)",0,0,0,1,11,1,2,0,0
"(2, 4, 8, 1, 7, 3, 6, 5)",0,1,0,1,12,0,3,0,0
"(2, 4, 8, 1, 7, 5, 3, 6)",0,0,0,1,12,0,3,0,0
"(2, 4, 8, 1, 7, 5, 6, 3)",0,1,0,1,13,1,3,0,0
"(2, 4, 8, 1, 7, 6, 3, 5)",0,0,0,0,13,1,3,0,0
"(2, 4, 8, 1, 7, 6, 5, 3)",0,1,0,0,14,0,4,0,0
"(2, 4, 8, 3, 1, 5, 6, 7)",0,0,0,1,9,1,2,0,0
"(2, 4, 8, 3, 1, 5, 7, 6)",0,1,0,0,10,0,3,0,0
"(2, 4, 8, 3, 1, 6, 5, 7)",0,0,0,0,10,0,3,0,0
"(2, 4, 8, 3, 1, 6, 7, 5)",0,1,0,0,11,1,3,0,0
"(2, 4, 8, 3, 1, 7, 5, 6)",0,0,0,1,11,1,3,0,0
"(2, 4, 8, 3, 1, 7, 6, 5)",0,1,0,1,12,0,4,0,0
"(2, 4, 8, 3, 5, 1, 6, 7)",0,0,0,0,10,0,2,0,0
"(2, 4, 8, 3, 5, 1, 7, 6)",0,1,0,0,11,1,3,0,0
"(2, 4, 8, 3, 5, 6, 1, 7)",0,0,0,0,11,1,2,0,0
"(2, 4, 8, 3, 5, 6, 7, 1)",1,1,0,0,12,0,2,0,0
"(2, 4, 8, 3, 5, 7, 1, 6)",0,0,0,0,12,0,2,0,0
"(2, 4, 8, 3, 5, 7, 6, 1)",1,1,0,0,13,1,3,0,0
"(2, 4, 8, 3, 6, 1, 5, 7)",0,0,0,1,11,1,2,0,0
"(2, 4, 8, 3, 6, 1, 7, 5)",0,1,0,0,12,0,3,0,0
"(2, 4, 8, 3, 6, 5, 1, 7)",0,0,0,1,12,0,3,0,0
"(2, 4, 8, 3, 6, 5, 7, 1)",1,1,0,0,13,1,3,0,0
"(2, 4, 8, 3, 6, 7, 1, 5)",0,0,0,1,13,1,2,0,0
"(2, 4, 8, 3, 6, 7, 5, 1)",1,1,0,1,14,0,3,0,0
"(2, 4, 8, 3, 7, 1, 5, 6)",0,0,0,1,12,0,2,0,0
"(2, 4, 8, 3, 7, 1, 6, 5)",0,1,0,1,13,1,3,0,0
"(2, 4, 8, 3, 7, 5, 1, 6)",0,0,0,1,13,1,3,0,0
"(2, 4, 8, 3, 7, 5, 6, 1)",1,1,0,1,14,0,3,0,0
"(2, 4, 8, 3, 7, 6, 1, 5)",0,0,0,0,14,0,3,0,0
"(2, 4, 8, 3, 7, 6, 5, 1)",1,1,0,0,15,1,4,0,0
"(2, 4, 8, 5, 1, 3, 6, 7)",0,0,0,1,10,0,2,0,0
"(2, 4, 8, 5, 1, 3, 7, 6)",0,1,0,0,11,1,3,0,0
"(2, 4, 8, 5, 1, 6, 3, 7)",0,0,0,0,11,1,3,0,0
"(2, 4, 8, 5, 1, 6, 7, 3)",0,1,0,0,12,0,3,0,0
"(2, 4, 8, 5, 1, 7, 3, 6)",0,0,0,1,12,0,3,0,0
"(2, 4, 8, 5, 1, 7, 6, 3)",0,1,0,1,13,1,4,0,0
"(2, 4, 8, 5, 3, 1, 6, 7)",0,0,0,1,11,1,3,0,0
"(2, 4, 8, 5, 3, 1, 7, 6)",0,1,0,0,12,0,4,0,0
"(2, 4, 8, 5, 3, 6, 1, 7)",0,0,0,0,12,0,3,0,0
"(2, 4, 8, 5, 3, 6, 7, 1)",1,1,0,0,13,1,3,0,0
"(2, 4, 8, 5, 3, 7, 1, 6)",0,0,0,1,13,1,3,0,0
"(2, 4, 8, 5, 3, 7, 6, 1)",1,1,0,1,14,0,4,0,0
"(2, 4, 8, 5, 6, 1, 3, 7)",0,0,0,1,12,0,2,0,0
"(2, 4, 8, 5, 6, 1, 7, 3)",0,1,0,0,13,1,3,0,0
"(2, 4, 8, 5, 6, 3, 1, 7)",0,0,0,1,13,1,3,0,0
"(2, 4, 8, 5, 6, 3, 7, 1)",1,1,0,0,14,0,3,0,0
"(2, 4, 8, 5, 6, 7, 1, 3)",0,0,0,1,14,0,2,0,0
"(2, 4, 8, 5, 6, 7, 3, 1)",1,1,0,1,15,1,3,0,0
"(2, 4, 8, 5, 7, 1, 3, 6)",0,0,0,1,13,1,2,0,0
"(2, 4, 8, 5, 7, 1, 6, 3)",0,1,0,1,14,0,3,0,0
"(2, 4, 8, 5, 7, 3, 1, 6)",0,0,0,1,14,0,3,0,0
"(2, 4, 8, 5, 7, 3, 6, 1)",1,1,0,1,15,1,3,0,0
"(2, 4, 8, 5, 7, 6, 1, 3)",0,0,0,0,15,1,3,0,0
"(2, 4, 8, 5, 7, 6, 3, 1)",1,1,0,0,16,0,4,0,0
"(2, 4, 8, 6, 1, 3, 5, 7)",0,0,0,1,11,1,2,0,0
"(2, 4, 8, 6, 1, 3, 7, 5)",0,1,0,0,12,0,3,0,0
"(2, 4, 8, 6, 1, 5, 3, 7)",0,0,0,1,12,0,3,0,0
"(2, 4, 8, 6, 1, 5, 7, 3)",0,1,0,0,13,1,3,0,0
"(2, 4, 8, 6, 1, 7, 3, 5)",0,0,0,1,13,1,3,0,0
"(2, 4, 8, 6, 1, 7, 5, 3)",0,1,0,1,14,0,4,0,0
"(2, 4, 8, 6, 3, 1, 5, 7)",0,0,0,1,12,0,3,0,0
"(2, 4, 8, 6, 3, 1, 7, 5)",0,1,0,0,13,1,4,0,0
"(2, 4, 8, 6, 3, 5, 1, 7)",0,0,0,1,13,1,3,0,0
"(2, 4, 8, 6, 3, 5, 7, 1)",1,1,0,0,14,0,3,0,0
"(2, 4, 8, 6, 3, 7, 1, 5)",0,0,0,1,14,0,3,0,0
"(2, 4, 8, 6, 3, 7, 5, 1)",1,1,0,1,15,1,4,0,0
"(2, 4, 8, 6, 5, 1, 3, 7)",0,0,0,0,13,1,3,0,0
"(2, 4, 8, 6, 5, 1, 7, 3)",0,1,0,0,14,0,4,0,0
"(2, 4, 8, 6, 5, 3, 1, 7)",0,0,0,0,14,0,4,0,0
"(2, 4, 8, 6, 5, 3, 7, 1)",1,1,0,0,15,1,4,0,0
"(2, 4, 8, 6, 5, 7, 1, 3)",0,0,0,0,15,1,3,0,0
"(2, 4, 8, 6, 5, 7, 3, 1)",1,1,0,0,16,0,4,0,0
"(2, 4, 8, 6, 7, 1, 3, 5)",0,0,0,1,14,0,2,0,0
"(2, 4, 8, 6, 7, 1, 5, 3)",0,1,0,1,15,1,3,0,0
"(2, 4, 8, 6, 7, 3, 1, 5)",0,0,0,1,15,1,3,0,0
"(2, 4, 8, 6, 7, 3, 5, 1)",1,1,0,1,16,0,3,0,0
"(2, 4, 8, 6, 7, 5, 1, 3)",0,0,0,1,16,0,3,0,0
"(2, 4, 8, 6, 7, 5, 3, 1)",1,1,0,1,17,1,4,0,0
"(2, 4, 8, 7, 1, 3, 5, 6)",0,0,0,1,12,0,2,0,0
"(2, 4, 8, 7, 1, 3, 6, 5)",0,1,0,1,13,1,3,0,0
"(2, 4, 8, 7, 1, 5, 3, 6)",0,0,0,1,13,1,3,0,0
"(2, 4, 8, 7, 1, 5, 6, 3)",0,1,0,1,14,0,3,0,0
"(2, 4, 8, 7, 1, 6, 3, 5)",0,0,0,0,14,0,3,0,0
"(2, 4, 8, 7, 1, 6, 5, 3)",0,1,0,0,15,1,4,0,0
"(2, 4, 8, 7, 3, 1, 5, 6)",0,0,0,1,13,1,3,0,0
"(2, 4, 8, 7, 3, 1, 6, 5)",0,1,0,1,14,0,4,0,0
"(2, 4, 8, 7, 3, 5, 1, 6)",0,0,0,1,14,0,3,0,0
"(2, 4, 8, 7, 3, 5, 6, 1)",1,1,0,1,15,1,3,0,0
"(2, 4, 8, 7, 3, 6, 1, 5)",0,0,0,0,15,1,3,0,0
"(2, 4, 8, 7, 3, 6, 5, 1)",1,1,0,0,16,0,4,0,0
"(2, 4, 8, 7, 5, 1, 3, 6)",0,0,0,0,14,0,3,0,0
"(2, 4, 8, 7, 5, 1, 6, 3)",0,1,0,0,15,1,4,0,0
"(2, 4, 8, 7, 5, 3, 1, 6)",0,0,0,0,15,1,4,0,0
"(2, 4, 8, 7, 5, 3, 6, 1)",1,1,0,0,16,0,4,0,0
"(2, 4, 8, 7, 5, 6, 1, 3)",0,0,0,0,16,0,3,0,0
"(2, 4, 8, 7, 5, 6, 3, 1)",1,1,0,0,17,1,4,0,0
"(2, 4, 8, 7, 6, 1, 3, 5)",0,0,0,1,15,1,3,0,0
"(2, 4, 8, 7, 6, 1, 5, 3)",0,1,0,1,16,0,4,0,0
"(2, 4, 8, 7, 6, 3, 1, 5)",0,0,0,1,16,0,4,0,0
"(2, 4, 8, 7, 6, 3, 5, 1)",1,1,0,1,17,1,4,0,0
"(2, 4, 8, 7, 6, 5, 1, 3)",0,0,0,1,17,1,4,0,0
"(2, 4, 8, 7, 6, 5, 3, 1)",1,1,0,1,18,0,5,0,0
"(2, 5, 1, 3, 4, 6, 7, 8)",0,0,0,0,4,0,1,1,0
"(2, 5, 1, 3, 4, 6, 8, 7)",0,1,0,0,5,1,2,0,0
"(2, 5, 1, 3, 4, 7, 6, 8)",0,0,0,0,5,1,2,0,0
"(2, 5, 1, 3, 4, 7, 8, 6)",0,1,0,1,6,0,2,0,0
"(2, 5, 1, 3, 4, 8, 6, 7)",0,0,0,1,6,0,2,0,0
"(2, 5, 1, 3, 4, 8, 7, 6)",0,1,0,0,7,1,3,0,0
"(2, 5, 1, 3, 6, 4, 7, 8)",0,0,0,0,5,1,2,0,0
"(2, 5, 1, 3, 6, 4, 8, 7)",0,1,0,1,6,0,3,0,0
"(2, 5, 1, 3, 6, 7, 4, 8)",0,0,0,0,6,0,2,0,0
"(2, 5, 1, 3, 6, 7, 8, 4)",0,1,0,1,7,1,2,0,0
"(2, 5, 1, 3, 6, 8, 4, 7)",0,0,0,1,7,1,2,0,0
"(2, 5, 1, 3, 6, 8, 7, 4)",0,1,0,0,8,0,3,0,0
"(2, 5, 1, 3, 7, 4, 6, 8)",0,0,0,0,6,0,2,0,0
"(2, 5, 1, 3, 7, 4, 8, 6)",0,1,0,1,7,1,3,0,0
"(2, 5, 1, 3, 7, 6, 4, 8)",0,0,0,0,7,1,3,0,0
"(2, 5, 1, 3, 7, 6, 8, 4)",0,1,0,0,8,0,3,0,0
"(2, 5, 1, 3, 7, 8, 4, 6)",0,0,0,1,8,0,2,0,0
"(2, 5, 1, 3, 7, 8, 6, 4)",0,1,0,1,9,1,3,0,0
"(2, 5, 1, 3, 8, 4, 6, 7)",0,0,0,1,7,1,2,0,0
"(2, 5, 1, 3, 8, 4, 7, 6)",0,1,0,0,8,0,3,0,0
"(2, 5, 1, 3, 8, 6, 4, 7)",0,0,0,0,8,0,3,0,0
"(2, 5, 1, 3, 8, 6, 7, 4)",0,1,0,0,9,1,3,0,0
"(2, 5, 1, 3, 8, 7, 4, 6)",0,0,0,1,9,1,3,0,0
"(2, 5, 1, 3, 8, 7, 6, 4)",0,1,0,1,10,0,4,0,0
"(2, 5, 1, 4, 3, 6, 7, 8)",0,0,0,0,5,1,2,0,0
"(2, 5, 1, 4, 3, 6, 8, 7)",0,1,0,0,6,0,3,0,0
"(2, 5, 1, 4, 3, 7, 6, 8)",0,0,0,0,6,0,3,0,0
"(2, 5, 1, 4, 3, 7, 8, 6)",0,1,0,0,7,1,3,0,0
"(2, 5, 1, 4, 3, 8, 6, 7)",0,0,0,0,7,1,3,0,0
"(2, 5, 1, 4, 3, 8, 7, 6)",0,1,0,0,8,0,4,0,0
"(2, 5, 1, 4, 6, 3, 7, 8)",0,0,0,0,6,0,2,0,0
"(2, 5, 1, 4, 6, 3, 8, 7)",0,1,0,0,7,1,3,0,0
"(2, 5, 1, 4, 6, 7, 3, 8)",0,0,0,0,7,1,2,0,0
"(2, 5, 1, 4, 6, 7, 8, 3)",0,1,0,0,8,0,2,0,0
"(2, 5, 1, 4, 6, 8, 3, 7)",0,0,0,0,8,0,2,0,0
"(2, 5, 1, 4, 6, 8, 7, 3)",0,1,0,0,9,1,3,0,0
"(2, 5, 1, 4, 7, 3, 6, 8)",0,0,0,0,7,1,2,0,0
"(2, 5, 1, 4, 7, 3, 8, 6)",0,1,0,0,8,0,3,0,0
"(2, 5, 1, 4, 7, 6, 3, 8)",0,0,0,0,8,0,3,0,0
"(2, 5, 1, 4, 7, 6, 8, 3)",0,1,0,0,9,1,3,0,0
"(2, 5, 1, 4, 7, 8, 3, 6)",0,0,0,0,9,1,2,0,0
"(2, 5, 1, 4, 7, 8, 6, 3)",0,1,0,0,10,0,3,0,0
"(2, 5, 1, 4, 8, 3, 6, 7)",0,0,0,0,8,0,2,0,0
"(2, 5, 1, 4, 8, 3, 7, 6)",0,1,0,0,9,1,3,0,0
"(2, 5, 1, 4, 8, 6, 3, 7)",0,0,0,0,9,1,3,0,0
"(2, 5, 1, 4, 8, 6, 7, 3)",0,1,0,0,10,0,3,0,0
"(2, 5, 1, 4, 8, 7, 3, 6)",0,0,0,0,10,0,3,0,0
"(2, 5, 1, 4, 8, 7, 6, 3)",0,1,0,0,11,1,4,0,0
"(2, 5, 1, 6, 3, 4, 7, 8)",0,0,0,0,6,0,2,0,0
"(2, 5, 1, 6, 3, 4, 8, 7)",0,1,0,1,7,1,3,0,0
"(2, 5, 1, 6, 3, 7, 4, 8)",0,0,0,0,7,1,3,0,0
"(2, 5, 1, 6, 3, 7, 8, 4)",0,1,0,1,8,0,3,0,0
"(2, 5, 1, 6, 3, 8, 4, 7)",0,0,0,1,8,0,3,0,0
"(2, 5, 1, 6, 3, 8, 7, 4)",0,1,0,0,9,1,4,0,0
"(2, 5, 1, 6, 4, 3, 7, 8)",0,0,0,0,7,1,3,0,0
"(2, 5, 1, 6, 4, 3, 8, 7)",0,1,0,1,8,0,4,0,0
"(2, 5, 1, 6, 4, 7, 3, 8)",0,0,0,0,8,0,3,0,0
"(2, 5, 1, 6, 4, 7, 8, 3)",0,1,0,1,9,1,3,0,0
"(2, 5, 1, 6, 4, 8, 3, 7)",0,0,0,1,9,1,3,0,0
"(2, 5, 1, 6, 4, 8, 7, 3)",0,1,0,0,10,0,4,0,0
"(2, 5, 1, 6, 7, 3, 4, 8)",0,0,0,0,8,0,2,0,0
"(2, 5, 1, 6, 7, 3, 8, 4)",0,1,0,1,9,1,3,0,0
"(2, 5, 1, 6, 7, 4, 3, 8)",0,0,0,0,9,1,3,0,0
